Number	Source	Context	Possessor_animacy	Possessor_length 	Possessum_length 	Final_sibilancy 	Prototypicality	Genitive_type 	Register 
232	ACAD	"Kautiainen et al., 2005; Lanningham-Foster et al., 2006). # Children 's increased use of technology has been linked to reduced leisure-time PA since these sedentary activities"	Y	1	4	N	N	s_gen 	LT
233	ACAD	suggest that he and his viewers could vicariously achieve it in art. # Vallotton 's exploration of the ethics of vision reaches a climactic conclusion at the end of La	Y	1	1	N	N	s_gen 	LT
234	ACAD	"from this database. A retrospective analysis was performed in July 2016 using the hospital 's prospectively collected computerized patient file. In the absence of recent data, patients'"	N	2	5	N	N	s_gen 	LT
235	ACAD	"the so-called Axis of Resistance. However, this is not true of the Hizbullah 's intervention narrative as a whole. First, contrary to the realist tradition, which"	Y	2	5	N	N	s_gen 	LT
236	ACAD	"affairs of another civilized nation unless to redress an imbalance caused by a third party 's prior intervention within an internal struggle for self-government, yet intervening in barbarians' affairs"	N	3	2	N	N	s_gen 	LT
237	ACAD	", is wisdom, the love of which constitutes the philosophical enterprise.12 One of Aristotle 's most lyrical and famous passages both describes the enterprise and provides the criteria for it"	Y	3	5	N	Y	s_gen 	LT
238	ACAD	"). In 1991, AACSB instituted a Mission-driven accreditation process, whereby the association 's new guiding principle became the acceptance, and even encouragement, of diverse paths to"	N	2	3	N	N	s_gen 	LT
239	ACAD	""" We have long recognized that considerable weight should be accorded to an executive department 's construction of a statutory scheme it is entrusted to administer, and the principle of"	N	3	5	N	N	s_gen 	LT
240	ACAD	"'s nascent feminism. Nineteenth-century Canadian Indian policy and state attitudes had undermined Indigenous women 's political capital, leaving them underrepresented in the principal Indigenous political organizations. As early"	Y	2	2	N	N	s_gen 	LT
241	ACAD	", during an unfolding power stroke, we imagine that the resisting force weakens ClpX 's grip on the Gly12 sequence, resulting in ineffective power strokes that fail to move"	N	1	1	Y	N	s_gen 	LT
242	ACAD	"the prize draws Ajinomoto ran for Castle in the Sky contained goods branded with Miyazaki 's original sketches for the film, they were not otherwise cognitively associated with its content"	Y	1	2	N	N	s_gen 	LT
243	ACAD	"statute from a Commerce Clause perspective will likely spur other states to follow in Colorado 's footsteps.176 To date, three other states have promulgated their own notice laws. Of"	N	1	1	N	N	s_gen 	LT
244	ACAD	below conform to the shift in emphasis traced in Malina's summary. A character 's stepping out of a fictional world and into the world of the author (or	Y	2	13	N	N	s_gen 	LT
245	ACAD	"systems considerably more potent ""). This underscores a recurring theme that the military 's capabilities have more to do with advances in information technology than with advances in the"	N	2	1	N	N	s_gen 	LT
246	ACAD	"individual factors in the context of participatory media, specifically for perceptions of a journalist 's interactivity on Twitter, one of the most popular social-networking platforms. Some argue the"	Y	2	1	N	N	s_gen 	LT
247	ACAD	's unit in Afghanistan knew why: He was accused of stealing a female soldier 's panties. Johnson's aspirations to a military career were over. Now he faced	Y	3	1	N	N	s_gen 	LT
248	ACAD	"that maximize the value of the firm's expected future cash flows. The framework 's effectiveness, however, depends in part on the precision with which the capital market"	N	2	1	N	N	s_gen 	LT
249	ACAD	that a portrait of the writer wouldn't be entirely out of place on Machko 's walls. # We wandered up to a street of restaurants and clubs that run	N	1	1	N	Y	s_gen 	LT
250	ACAD	"dream complete with vivid, compelling, dreamlike, and surreal imagery akin to Carter 's own (and strongly visual) imaginary. The filmmaker foregrounds the darker side of"	Y	1	2	N	N	s_gen 	LT
251	ACAD	"patient "" (Beauchamp and Childress 2013, 108), and "" This physician 's temporary act of nondisclosure is morally justified, although beneficence has, temporarily, received"	Y	2	2	N	N	s_gen 	LT
252	ACAD	"individual's and organization's worldview. "" 84 # North Dakota voters agreed with Hamilton 's assessment, and overwhelmingly rejected the amendment by a roughly 2-1 margin. Thus,"	Y	1	1	N	N	s_gen 	LT
253	ACAD	"the idea that the linkages between the open market operations conducted by a central bank 's trading desk, on the one hand, and the objectives of monetary policies,"	N	3	2	N	Y	s_gen 	LT
254	ACAD	"analysts persist in feeling a certain unease, even at a time when the country 's power appears to be rising. As Karaganov puts it: # Today Russia is"	N	2	1	N	N	s_gen 	LT
255	ACAD	"is markedly consistent across all the examples.38. For a complete map of the pagoda 's composition from sacred characters, refer to the associated digital project that animates the sequential"	N	2	1	N	N	s_gen 	LT
256	ACAD	"'s Eat Pray Love (2006), or, more seriously, Primo Levi 's first-person witness in Survival in Auschwitz (1947), or, closer to home"	Y	2	2	N	N	s_gen 	LT
257	ACAD	"using this data set will, most likely, include ORCID data because of TAMU 's plans to actively promote ORCID. Additionally, a TAMU Libraries team (including the"	Y	1	1	N	N	s_gen 	LT
258	ACAD	hand prosthesis. Image retrieved from Wikimedia Commons **33;72674;TOOLONG # Figure 3) Ambroise Fare 's illustration of the' Le Petit Lorrain prosthetic hand published in 1575 in his book	Y	2	1	N	N	s_gen 	LT
259	ACAD	"Hiroko is myself. "" 13 Nagata had feminist sensitivities in her pursuit of women 's autonomy in the leftist movement (? tsuka Kanojo tachi 16, Oguma vol. 2"	Y	1	1	N	N	s_gen 	LT
260	ACAD	of the car.12 The device tracks a borrower's car payments and disables the car 's ignition if the borrower defaults or the lender does not receive a payment within a	N	2	1	N	Y	s_gen 	LT
261	ACAD	"argument makes little sense in relation to lightweight offset plates.43 Notwithstanding this focus on women 's physical incapacity, female press-machinists themselves tended not to speak of issues related to lifting"	Y	1	2	N	N	s_gen 	LT
262	ACAD	"relate such "" qualitative "" elements to scan-sion, but i will argue that Frost 's poetry demands just such a qualitatively, performance inflected scansion; it rethinks metrical structure"	Y	1	1	N	N	s_gen 	LT
263	ACAD	"? To what extent did Wilson's poor health and lengthy convalescence affect the government 's handling of the report? Such questions, among others, demand informed answers in"	N	2	4	N	N	s_gen 	LT
264	ACAD	"passage, and deaf where we past; (ll. 87-90) # The dactyl 's return brings with it the resurgence in the poem of two motifs from the opening"	N	2	1	N	N	s_gen 	LT
265	ACAD	"a slave-trader. Because the Muniers are free people of color, much like Dumas 's own father had been in colonial Saint-Domingue, they are subject to cruel treatment by"	Y	1	2	Y	N	s_gen 	LT
266	ACAD	# The study also coded all cases in the dataset for each Federal Circuit judge 's decision regarding the merits of injunctive relief. This was done to evaluate whether there	Y	4	1	Y	N	s_gen 	LT
267	ACAD	"citizens institutionally more competitive. # In recent times, knowledge' roles and organization 's understanding for performance became clearer, whereas, beforehand, managerial stress was positioned on"	N	1	1	N	N	s_gen 	LT
268	ACAD	"the process is likely to improve the quality of individual assessments and strengthen the program 's credibility (NRC, 2014). IRIS assessments are considered the U.S. Government's"	N	2	1	N	N	s_gen 	LT
269	ACAD	: Rights Afforded to Aliens # Scalia-style originalism revolves around the importance of a law 's historical origins and the original public meaning of the law's text at the time	N	2	2	N	N	s_gen 	LT
270	ACAD	"2005) (Ginsburg, J., dissenting). Justice Souter joined Justice Ginsburg 's dissent and wrote separately to note that he did not want to "" prejudge a"	Y	2	1	N	N	s_gen 	LT
271	ACAD	and figurative states of affective and cognitive impression with viewed fictional characters. Baba Yaga 's presence and popularity on Russian and American television allows us to explore how forming such	Y	2	1	N	N	s_gen 	LT
272	ACAD	"The ocean is presented as incommensurable and unpredictable with an implacable overwhelming might. Lee 's presentation of the sea storm is made of CG rain, dark CG skies,"	Y	1	5	N	N	s_gen 	LT
273	ACAD	"by culture, or superstructure. # Drawing on nonsimultaneous and simultaneous contradictions, Bloch 's multilayered dialectic is fourfold. First, nonsimultaneous contradictions manifest themselves in two ways:"	Y	1	2	N	N	s_gen 	LT
274	ACAD	"alien population and to express its endorsement of the law, the newspaper reported Congress 's consideration of the law under the heading "" Important to Aliens, "" saying:"	N	1	1	Y	N	s_gen 	LT
275	ACAD	"of parent ratings in predicting those criterion variables beyond that predicted by the school district 's academic screening tool used at kindergarten registration. To our knowledge, no studies have"	N	3	3	N	N	s_gen 	LT
276	ACAD	", and act according to one's own experience. After all, given Foucault 's account, how could any individual resist the very power that has fabricated him or"	Y	1	1	N	N	s_gen 	LT
277	ACAD	"indifferent, so we are right back at unanimity.261 # Finally, Kenneth J. Arrow 's much more technical work on democracy and voting made the same opening assumption about the"	Y	3	4	N	N	s_gen 	LT
278	ACAD	"popular culture, journalists sought to destigmatize both the trivialness of the incident and Chan 's boorish behavior by making the Bus Uncle story more entertaining for those who would not"	Y	1	2	N	N	s_gen 	LT
279	WEB	"to an agreement. # In theory, that should achieve almost all of Boehner 's goals. The only way it doesn't is if he actually wants to endanger"	Y	1	1	N	N	s_gen 	OT
280	WEB	run out. # Robert Glennon captures the irony -- and tragedy -- of America 's water crisis in a book that is both frightening and wickedly comical. From manufactured	N	1	2	N	N	s_gen 	OT
281	WEB	"The report also analyzed several alternative scenarios that could influence the economic competitiveness of America 's remaining operational coal fleet, including implementation of a price on carbon dioxide emissions and"	N	1	4	N	N	s_gen 	OT
282	WEB	to the weather map and danced a Latin beat while Delgado reported on the day 's high temperatures. # Hanks' infamously awkward Doral detour -- the You Tube clip	N	2	2	N	N	s_gen 	OT
283	WEB	"of undeniable worth or they can make no claim to store value. # Douthwaite 's view was that exchange currencies, once established, need no backing. They have"	Y	1	1	N	N	s_gen 	OT
284	WEB	"As far as eye could reach there were the tiny sharp prints of a squirrel 's foot, and they led, not down the hillside to the trapper's hut"	Y	2	1	N	Y	s_gen 	OT
285	WEB	"academy throughout the years. # Shelby Police Officer Keith Bridges said with the academy 's 16th session, one goal is to continue creating personal relationships with officers and the"	N	2	2	N	N	s_gen 	OT
286	WEB	"'s musical education began from the womb, where she was audience to her mother 's concert piano and her father's folk guitar. Originally from Dunedin, Emmanuelle is"	Y	2	2	N	Y	s_gen 	OT
287	WEB	"the commerce clause in the new structure of power. # Therefore, although Levinson 's book contains a lucid and accurate description of the costs incurred by the Framers'"	Y	1	1	N	Y	s_gen 	OT
288	WEB	articles on Discerning the World can be updated. # It has come to DTW 's attention that Kobus van Rensburg from Spirit Word Ministries feels it absolutely necessary to pray	Y	1	1	N	N	s_gen 	OT
289	WEB	"in August that it was working on a deal with Wanxiang Group Corp., China 's largest auto-parts maker, for financing in exchange for a majority ownership stake. #"	N	1	3	N	N	s_gen 	OT
290	WEB	"will recognize the importance of Palestine and who its enemy is, "" the kindergarten 's director said. # The children were dressed up in uniforms of Jihad's armed-wing"	N	2	1	N	N	s_gen 	OT
291	WEB	", you play against 11 top players. "" # It will be Jose Mourinho 's 100th Champions League match as a manager but Mancini insisted the focus should not be"	Y	2	3	N	N	s_gen 	OT
292	WEB	were still too many people alive for him to write it. a * Nick 's own education in those earlier matters had been ac- 464 FATHERS AND SONS quired in	Y	1	2	N	N	s_gen 	OT
293	WEB	"let y be the distance in CSS pixels from the top edge of the image 's top border, if it has one, or the top edge of the image"	N	2	2	N	N	s_gen 	OT
294	WEB	"Queen asked her why there were suddenly so many flowers Khujjuttara fell at the Queen 's feet and confessed her theft. When Samavati forgave her magnanimously, Khujjuttara told her"	Y	2	1	N	N	s_gen 	OT
295	WEB	"different factions. There is a German and American side, each with the faction 's respective weapons. When playing with three or four players, they will be split"	N	2	2	N	N	s_gen 	OT
296	WEB	"n't start Saturday vs. the Tigers. He injured his left shoulder in last week 's win over Ole Miss, but coach Mark Richt said Burnette likely will travel with"	N	2	4	N	N	s_gen 	OT
297	WEB	"for anyone harboring homosexuals. However, no legislative action has resulted. The Gambia 's existing laws already criminalize homosexual sex acts, but current laws do not include the"	N	2	2	N	N	s_gen 	OT
298	WEB	"83rd birthday; we talked about "" Bumble-Ardy, "" the trouble with some children 's literature and which among his own books is his favorite. Below, condensed and"	Y	2	1	N	N	s_gen 	OT
299	WEB	"that heterozygosity in trans -acting factors that interact with CPRs may instead shape the CPR 's role in expression variation, perhaps leading to constraint in this region. From a"	N	2	1	N	N	s_gen 	OT
300	WEB	- A Wisconsin man who had been accused of domestic violence and slashing his wife 's tires took a gun into the spa where she worked Sunday and shot seven women	Y	2	1	N	N	s_gen 	OT
301	WEB	somebody who's very serious to pull off a character like Herman Munster from Gwynne 's series The Munsters. It's not simple to play the goof. Fred was	N	1	1	N	N	s_gen 	OT
302	WEB	"Panetta has been traveling. # Q As a sort of a follow-up to Ben 's question, does the President see this in general as an unwelcome distraction at a"	Y	1	1	N	N	s_gen 	OT
303	WEB	"? "" Reverend Shaw asked hopelessly, his hand still moving tenderly through John Michael 's hair. # As Helena listened to Myka's words, she felt as if"	Y	2	1	N	Y	s_gen 	OT
304	WEB	"two frontcourt starters. # It's really not our intent to dwell on Utah 's road woes. The Jazz, though, don't leave much choice thanks to"	N	1	2	N	Y	s_gen 	OT
305	WEB	"India, "" Gourlay said. # Money-spinning tours are even more important while Chelsea 's potential is limited by its 41,000-capacity home stadium with no viable new site to develop"	N	1	1	N	N	s_gen 	OT
306	WEB	"looked to initiate and facilitate a military conflict somewhere in the world, since Eisenhower 's years in the White House till present time, under the pretext that war is"	Y	1	1	N	N	s_gen 	OT
307	WEB	"thoughts, to turn over the accomplishments and non-accomplishments and make peace with the day 's choices. Instead there was romping. I'm afraid I was not particularly patient"	N	2	1	N	N	s_gen 	OT
308	WEB	"I am not aware of any extra fees, though. Just bullet + hangman 's work.) # These kind of fees are outrageous, and I would expect"	Y	1	1	N	N	s_gen 	OT
309	WEB	"fathers death, then walking out on Richard, followed by Aadam's and Dan 's inability to commit, but that was just the beginning. Tapping into my source"	Y	1	1	N	N	s_gen 	OT
310	WEB	", "" Eric, who processed up the main aisle arm in arm with Cal 's mother before taking a seat in the front row? clearly indicating an imaginary spousal"	Y	1	1	N	Y	s_gen 	OT
311	WEB	"both regret and resentment to many of these same aides who blame the Bush administration 's incompetence, Manichean worldview and contempt for diplomacy for the crises they face in the"	N	3	1	N	N	s_gen 	OT
312	WEB	the brain that wouldn't be easy to detect by someone other than the dog 's owner who was intimately familar with the dog and his behaviour to catch any subtle	Y	2	1	N	Y	s_gen 	OT
313	WEB	"he "" were an outer force, the Buddha taught that temptation arises in one 's own heart and mind because of one's own defilements. # Passed is the"	Y	1	2	N	Y	s_gen 	OT
314	WEB	"again -- may seem like a hopelessly retrograde, romantic exercise: nostalgia for Thoreau 's woodland ambles. But the need is urgent. The decline of walking has become"	Y	1	2	N	Y	s_gen 	OT
315	WEB	"start her van. She told him that the boy had a 1 p.m. doctor 's appointment. # While working on the van, Pleasant asked the boy how he"	Y	1	1	N	N	s_gen 	OT
316	WEB	of this below the waist baby weight. OR really it could be Trader Joe 's chocolate chips... # I just want to say that lower weights/higher reps aren't	Y	2	2	N	N	s_gen 	OT
317	WEB	"in the (mostly) vanished world of colonialism, imperialism, socialism and people 's democracy. # He is also a clan leader, and in tribal North Africa"	Y	1	1	N	N	s_gen 	OT
318	WEB	world in the Deep South of the 1940s has pretty much shrunk to her family 's kitchen and the companionship of wise and patient mammy Bernice (Ethel Waters) and	Y	2	1	N	Y	s_gen 	OT
319	WEB	"Couch would be the title, and she knew it would be about her mother 's transformation. Well, she nailed one of those things. This is an oddly"	Y	2	1	N	N	s_gen 	OT
320	WEB	"regular season. # Former Texas Tech coach Spike Dykes was an assistant on Royal 's staff for five years. # "" He didn't claim to invent football but"	Y	1	1	N	N	s_gen 	OT
321	WEB	"of government corruption. Look it up. # not true, check out Obama 's donations to charity versus Romeny's. Liberals talk a good game, but when"	Y	1	1	N	N	s_gen 	OT
322	WEB	"chilly glinting hill. He went in his ice-bound boots like a man on fishmonger 's slabs. "" He wagged his bag like a frozen camel's hump, dizzily"	Y	1	1	N	N	s_gen 	OT
323	WEB	"in the clear is a pretty strong indication that nothing illegal happened. Given Suh 's past transgressions, the league would not have hesitated to at least hand out a"	Y	1	2	N	N	s_gen 	OT
324	WEB	"people's stories. You can step into other people's lives, other people 's existences. And when that happens, your own world expands. My grandfather,"	Y	2	1	N	N	s_gen 	OT
325	WEB	"number historically, but once again, when you factor in the volume of Favre 's opportunities, it looks less impressive, especially when compared to others. # Favre"	N	1	1	N	N	s_gen 	OT
326	WEB	"replace "" politics "" with the word "" morality "". # of course morality 's purpose is, to an extent, to control behavior. That's hardly an"	N	1	1	N	N	s_gen 	OT
327	WEB	will update the post if and when we hear back. # Update: Apple 's Tom Neumayr responded with this statement: # Our customers want to use Siri to	N	1	2	N	Y	s_gen 	OT
328	WEB	"an extremely large accomplishment and it may have seemed like the pinnacle of any climber 's career. Well, over the past few years Ben has set his sights on"	Y	2	1	N	N	s_gen 	OT
329	WEB	", share, and explore the planet. # TAN! When my friend Marie 's son was born in the late 1980's, autism spectrum disorder affected 1 in"	Y	3	1	N	Y	s_gen 	OT
330	WEB	"man. It is part of the canon that if Bond goes into a woman 's room, it is to sleep with her, to kill her, or to"	Y	2	1	N	Y	s_gen 	OT
331	WEB	"after 638725 California 's Prop 37: What Do You Think? # Prop 37, like most propositions"	N	1	2	N	Y	s_gen 	OT
332	WEB	""" Why didn't you do a joke about hookers? "" and his girlfriend 's son to say, "" You should say you love Transformers. "" # Screams"	Y	2	1	N	Y	s_gen 	OT
333	WEB	"God must be perfectly good. This is one of the reasons I find Anselm 's argument more compelling then the the argument from design, the cosmological argument, and"	Y	1	1	N	N	s_gen 	OT
334	WEB	"the property had an FMV of $60,000, two-thirds of which is includable in John 's estate. Jim figures his basis in the property at the date of John's"	Y	1	1	N	N	s_gen 	OT
335	WEB	"some users switch to a DVD-only plan, that could put Netflix back under Sony 's cap and bring the studio's films like "" The Social Network "" and """	N	1	1	N	N	s_gen 	OT
336	WEB	", was a commercial pilot, and the family lived in different countries throughout Bale 's childhood, including England, Portugal, and the United States. Bale acknowledges the"	Y	1	1	N	N	s_gen 	OT
337	WEB	"these longitudinal profiles can be observed by means of fluorescence telescopes placed over the Earth 's surface, orbital detectors are more suitable for neutrino observations owing to their much larger"	N	2	1	N	Y	s_gen 	OT
338	WEB	use their other hand to pull the lever for a president who is Planned Parenthood 's best friend and an enemy of the sacred institution of marriage. I think of	N	2	2	N	N	s_gen 	OT
339	WEB	"'d rather see them go with an LMD, though I wonder, given Coulson 's popularity, if there's any thought to turning him into the Vision. #"	Y	1	1	N	N	s_gen 	OT
340	WEB	"U.S. Attorney John Bates said he was not certain whether his office would appeal Bryant 's order. # The new regulations, implemented April 22, prohibit individuals from exhibiting"	Y	1	1	N	N	s_gen 	OT
341	WEB	"and to obtain results here, "" he said. # The co-owner of Russia 's leading independent producer OAO Novatek, Gennady Timchenko, told Forbes magazine's Russian edition"	N	1	3	N	N	s_gen 	OT
342	WEB	"the Senate, however, I do not share what I understand to be Levinson 's view that the outcome of presidential elections should necessarily be governed by the nationwide popular"	Y	1	1	N	N	s_gen 	OT
343	WEB	pickup is owned by Derwood-based Garey Construction Inc. Shipley said investigators from his agency 's CRASH Team and Commercial Vehicle Enforcement Unit were still working to determine if the malfunctioning	N	2	2	Y	N	s_gen 	OT
344	WEB	"time now, and I'm still skeptical he'll get elected, but Obama 's success and ideas are slowly giving me hope. I just turned 18 and the"	Y	1	1	N	N	s_gen 	OT
345	WEB	"enough to see any improvement. "" # Smelling blood in the water at Wyeth 's setback other posters piled on. "" No study exists showing any antidepressant including Pristiq"	Y	1	1	N	N	s_gen 	OT
346	WEB	"decision. Well, the decision was overturned... there is some justice and Spence 's efforts are rewarded. # FBS football begins on August 30 -- but Las Vegas"	Y	1	1	N	N	s_gen 	OT
347	WEB	skills on their resume can also help increase their chances of being found via Monster 's semantic search. # While semantic search makes it easier for job seekers to find	N	1	2	N	N	s_gen 	OT
348	WEB	"'s licenses. # The stadium agreement "" expressly authorize the sale of stadium builder 's licenses and include the proceeds of any sale in the project budget, "" the"	Y	2	1	N	N	s_gen 	OT
349	WEB	But -- three everyone else's. # Well I mean I read Melissa Gilbert 's book and it seems like there was tons going -- missed out on one about	Y	2	1	N	Y	s_gen 	OT
350	WEB	"there's nothing new about dominant/submissive scenarios in women's fiction or in real-life women 's fantasies. Here's why: Submission is a primal urge, likely linked to"	Y	2	1	N	N	s_gen 	OT
351	WEB	"Suh chased down a scrambling Cutler on the play in question, grabbed the QB 's sleeve, then slammed him to the turf as Cutler tried to spin free."	Y	2	1	N	N	s_gen 	OT
352	WEB	"is to put quality talent around him. In a perfect draft, the Cleveland 's first three selections would be (in no order): running back, wide"	N	2	3	N	N	s_gen 	OT
353	WEB	: Lots. Look how CK put his receivers in position for YAC. Smith 's passes are almost always slow to the WR and mis placed. CK hits them	Y	1	1	N	N	s_gen 	OT
354	WEB	"of this comparison? # "" Regulators are expected to approve Florida Power &; Light 's request to lower its fuel charge for customers next year because of lower projections for"	N	1	1	N	N	s_gen 	OT
355	WEB	defenders for a 68-yard return that set up the score. # Jones started Cincinnati 's big third quarter by stripping Ahmad Bradshaw of the ball at the Cincinnati 14-yard line	N	1	3	N	N	s_gen 	OT
356	WEB	"and Mary for the love of the King. Initially, Mary wins King Henry 's favor and becomes his mistress, bearing him two illegitimate children. But Anne,"	Y	2	1	N	N	s_gen 	OT
357	WEB	's stable image built up by President Nursultan Nazarbayev. # Exit polls after Sunday 's election in the vast Central Asian state put the long-serving leader's Nur Otan party	N	1	1	N	N	s_gen 	OT
358	WEB	about plagerism. Do yourselves a favor? Find out just how well Deval Patrick 's 1st year in office has been up there in Mass. Maybe that's why	Y	2	2	N	N	s_gen 	OT
359	WEB	one here had anything to do with that. No one involved in Mary Kerwin 's campaign even knows who that group in Lansing is. Equally disturbing to me was	Y	2	1	N	N	s_gen 	OT
360	WEB	"As Ron Paul has demonstrated time and time again, then when you attack people 's freedom then don't be surprised at all if they begin resisting... # The"	Y	1	1	N	N	s_gen 	OT
361	WEB	is ready. # I think a lot of this has to due with Dixon 's value on special teams and who else they would have to deactivate to get Jacobs	Y	1	1	N	N	s_gen 	OT
362	WEB	. There are also complications in the relationship when Charlie has an affair with Chelsea 's best friend). Stacy Keach (who plays Chelsea's father) and John	Y	1	2	N	Y	s_gen 	OT
363	WEB	"years ago, lashed out anew in our day to exact vengeance reminiscent of Dante 's Inferno! Not only Ground Zero but also Manhattan in its entirety is hallowed ground"	Y	1	1	N	N	s_gen 	OT
364	WEB	the season opener at Stegeman Coliseum. # Generally the fourth year of a coach 's tenure is thought to be a make-or-break time in the ruthless world of modern college	Y	2	1	Y	N	s_gen 	OT
365	WEB	"and national-title implications, but a few more intriguing matchups have emerged. This week 's Top 10: biggest games of the second half of the season. # 1"	N	2	2	N	N	s_gen 	OT
366	WEB	in salary arbitration next season. Some media outlets have suggested the combination of Pence 's big salary and his late-season struggles at the plate might prompt the Giants to consider	Y	1	2	N	N	s_gen 	OT
367	WEB	"Jeffrey Symynkywicz, a minister and dedicated Springsteen fan, shows us that Bruce Spingsteen 's enduring importance stems largely from the rich spiritual themes that run throughout his albums."	Y	2	2	N	N	s_gen 	OT
368	WEB	"News with Mitt Romney saying "" let them lose their homes "" in Mitt Romney 's response to mortgage help. # Mitt Romney Focuses on Housing Crisis is an example"	Y	2	1	N	N	s_gen 	OT
369	WEB	"and respectable of others unless agitated, hungry or provoked. # According to Medusa 's handler and Edge of Hell's general manager, Larry Edgar, "" We try"	Y	1	1	N	N	s_gen 	OT
370	WEB	"the song, "" Teddy Boy "" about John. A teddy boy was England 's version of a rebellious tough guy or what we used to call juvenile delinquents here"	N	1	6	N	N	s_gen 	OT
371	WEB	"in due course. One of the terrorists in an abusive rant also derided Darwin 's theory of evolution and, if it were true, which he also asserted was"	Y	1	3	N	Y	s_gen 	OT
372	WEB	". We also invite experts to talk about their work. Combined with Jeff Wood 's The Other Side of the Tracks, the Half-Mile Circles blog is an opportunity for"	Y	2	6	N	Y	s_gen 	OT
373	WEB	". There, a crew sets to work installing a play pump near a children 's play area, boring 40 meters down until they hit the fresh water table below"	Y	2	2	N	N	s_gen 	OT
374	WEB	159349 Paseo May Not Be on Ballot # Albuquerque 's bond issue for the I-25/Paseo del Norte interchange may not appear on the November ballot	Y	1	2	N	N	s_gen 	OT
375	WEB	"GDP. Having access to information helps people help themselves. The video in Bruce 's post helps put a face to some of those people, and a window into"	Y	1	1	N	N	s_gen 	OT
376	WEB	a global audience and she deserves it. A strong dance background lends to Shiva 's truly unique style of teaching. She is a devoted activist who supports many charities	Y	1	5	N	N	s_gen 	OT
377	WEB	"and Mary for the love of the King. Initially, Mary wins King Henry 's favor and becomes his mistress, bearing him two illegitimate children. But Anne,"	Y	2	1	N	N	s_gen 	OT
378	WEB	jump-start the economy and sustainably boost employment and personal income may seem like a politician 's dream policy. But the repeated failure of these short-term interventionist policies to deliver the	Y	2	2	N	N	s_gen 	OT
379	WEB	"in 2013, Human Rights Watch said in a letter to Clinton today. Women 's rights are increasingly at risk in the run-up to the scheduled drawdown of international troops"	Y	1	1	N	N	s_gen 	OT
380	WEB	"company did discuss partnering with Hipstamatic, but denies the discussions were related to Instagram 's launch.) # And in late January of 2012, multiple sources confirm that"	N	1	1	N	N	s_gen 	OT
381	WEB	"country and the 3,200 meters in track last fall before finishing third at this year 's region meet (16:09). Tyler Stahl was the runnerup at the Sunshine Athletic"	N	2	2	N	N	s_gen 	OT
382	WEB	"Breaking News "" from the new album. When a fan tweeted back about Akon 's thoughts on Michael being in hiding, Riley responded that he and Akon "" think"	Y	1	1	N	N	s_gen 	OT
383	WEB	cavalry coming from Valencielle. He thought that the threatening skies reminded him of Milton 's description of legions of dark angels driven by St. Michael to the plains of Hell	Y	1	6	N	N	s_gen 	OT
384	WEB	"many of the more conservative elements in the government, who were flocking to Hitler 's party, which they saw as the key to renewed German prestige and the bulwark"	Y	1	1	N	N	s_gen 	OT
385	WEB	"Phaenex 2.2 (2007), 124-169). # Paul Ricoueur, in MM 's quote, argues that "" goodness is not only the response to evil, but"	Y	1	1	N	N	s_gen 	OT
386	WEB	and weekly U.S. and Canadian newspapers is available in the e- Data center on ABC 's website. ABC members will need their user name and password to access the report	N	1	1	N	N	s_gen 	OT
387	WEB	"In 1985, Cosby riled NBC by placing an anti-apartheid sign in his Huxtable son 's bedroom. The network wanted no part of the debate. "" There may be"	Y	3	1	N	Y	s_gen 	OT
388	WEB	"In this you drown in mucus, choking, and how you know the patient 's dead is: at the end he turns to be a little child again,"	Y	2	1	N	N	s_gen 	OT
389	BLOG	"God rather than burnt offerings. Hosea 6:6 While Jesus was having dinner at Matthew 's house, many tax collectors and "" Sinners "" came and ate with him and"	Y	1	1	N	Y	s_gen 	OT
390	BLOG	"the Physicians' Health Study, which has found that a daily multivitamin cuts men 's cancer risk. Rising is shown here with his pill pack in Antarctica. As"	Y	1	2	N	N	s_gen 	OT
391	BLOG	"her right arm; Erin and the harp are symbols of Ireland reflecting the territory 's Irish ancestry; blue represents awareness, trustworthiness, determination, and righteousness # Morocco"	N	2	2	N	N	s_gen 	OT
392	BLOG	"teeth to compare to bite marks on the victims' bodies. Two of Sutcliffe 's victims, coincidentally, were found a few hundred yards from Savile's home."	N	3	1	N	N	s_gen 	OT
393	BLOG	state of grace. # It's easy to be misled by dates about Christ 's second coming. Few priests and few people emphasize Christ's coming at our death	Y	1	2	N	N	s_gen 	OT
394	BLOG	"example -- one of three, I might mention -- was to suggest that Watson 's portrayal of the young woman -- "" Lunam "" -- was somewhat overly tinged with"	Y	1	5	N	N	s_gen 	OT
395	BLOG	the Paris Chocolate Show. Renault brought a little automotive flair to the this year 's show by teaming with French pastry chef Pierre Herm to create a Renault Twizy covered	N	2	1	N	N	s_gen 	OT
396	BLOG	"small credit for his previously taxed retirement contributions.After survivor election and income taxes, John 's net annual retirement will be about $20,800. He also will be entitled to a"	Y	1	3	N	N	s_gen 	OT
397	BLOG	", Eric, but there is this (I reproduce this again from Andrew Sullivan 's blog): # "" It was a dramatic weekend in Libya, starting on"	Y	2	1	N	N	s_gen 	OT
398	BLOG	"Denise Rich used to donate towards the Algore's 2000 Presidential campaign and Hillary Clinton 's 2000 Senate campaign; as a "" reward "", the corrupt criminal Marc Rich"	Y	2	3	N	N	s_gen 	OT
